Frame,Frame_Number,Predicted_Count,Risk_Level,Detection_Method,Scene_Type,Processing_Time_s,FPS_Equivalent
seq_000586.jpg,40,18,SAFE,Blend [Auto],moderate_outdoor,0.9,1.1
seq_000601.jpg,41,15,SAFE,YOLO [Auto],moderate_indoor,0.99,1.0
seq_000616.jpg,42,21,SAFE,Blend [Auto],moderate_outdoor,1.171,0.9
seq_000631.jpg,43,19,SAFE,YOLO [Auto],moderate_outdoor,1.046,1.0
seq_000646.jpg,44,25,SAFE,Blend [Auto],moderate_outdoor,1.003,1.0
seq_000661.jpg,45,28,SAFE,Blend [Auto],moderate_outdoor,1.01,1.0
seq_000676.jpg,46,33,SAFE,Blend [Auto],moderate_outdoor,0.974,1.0
seq_000691.jpg,47,32,SAFE,Blend [Auto],moderate_outdoor,1.001,1.0
seq_000706.jpg,48,28,SAFE,YOLO [Auto],moderate_outdoor,1.2,0.8
seq_000721.jpg,49,31,SAFE,Blend [Auto],moderate_outdoor,1.112,0.9
seq_000736.jpg,50,32,SAFE,Blend [Auto],moderate_outdoor,0.964,1.0
seq_000751.jpg,51,26,SAFE,YOLO [Auto],moderate_outdoor,0.915,1.1
seq_000766.jpg,52,27,SAFE,Blend [Auto],moderate_outdoor,1.014,1.0
seq_000781.jpg,53,30,SAFE,Blend [Auto],moderate_outdoor,1.181,0.8
seq_000796.jpg,54,21,SAFE,YOLO [Auto],moderate_outdoor,1.045,1.0
seq_000811.jpg,55,24,SAFE,Blend [Auto],moderate_outdoor,1.013,1.0
seq_000826.jpg,56,20,SAFE,YOLO [Auto],moderate_indoor,1.002,1.0
seq_000841.jpg,57,16,SAFE,YOLO [Auto],moderate_indoor,1.313,0.8
seq_000856.jpg,58,13,SAFE,YOLO [Auto],moderate_outdoor,1.218,0.8
seq_000871.jpg,59,20,SAFE,Blend [Auto],moderate_outdoor,1.124,0.9
seq_000886.jpg,60,23,SAFE,Blend [Auto],moderate_outdoor,0.97,1.0
seq_000901.jpg,61,21,SAFE,YOLO [Auto],moderate_outdoor,0.978,1.0
seq_000916.jpg,62,26,SAFE,Blend [Auto],moderate_outdoor,1.188,0.8
seq_000931.jpg,63,23,SAFE,YOLO [Auto],moderate_outdoor,0.999,1.0
seq_000946.jpg,64,25,SAFE,Blend [Auto],moderate_outdoor,0.947,1.1
seq_000961.jpg,65,28,SAFE,Blend [Auto],moderate_outdoor,0.984,1.0
seq_000976.jpg,66,31,SAFE,Blend [Auto],moderate_outdoor,1.073,0.9
seq_000991.jpg,67,32,SAFE,Blend [Auto],moderate_outdoor,1.192,0.8
seq_001006.jpg,68,28,SAFE,YOLO [Auto],moderate_outdoor,0.969,1.0
seq_001021.jpg,69,21,SAFE,YOLO [Auto],moderate_outdoor,0.992,1.0
seq_001036.jpg,70,23,SAFE,Blend [Auto],moderate_outdoor,0.917,1.1
seq_001051.jpg,71,17,SAFE,YOLO [Auto],moderate_outdoor,1.211,0.8
seq_001066.jpg,72,13,SAFE,YOLO [Auto],sparse_outdoor,1.045,1.0
seq_001081.jpg,73,12,SAFE,YOLO [Auto],moderate_outdoor,0.888,1.1
seq_001096.jpg,74,11,SAFE,YOLO [Auto],moderate_outdoor,0.981,1.0
seq_001111.jpg,75,9,SAFE,YOLO [Auto],moderate_indoor,1.178,0.8
seq_001126.jpg,76,9,SAFE,YOLO [Auto],moderate_indoor,1.039,1.0
seq_001141.jpg,77,10,SAFE,YOLO [Auto],moderate_indoor,0.93,1.1
seq_001156.jpg,78,19,SAFE,Blend [Auto],moderate_outdoor,0.973,1.0
seq_001171.jpg,79,25,SAFE,Blend [Auto],moderate_outdoor,1.0,1.0
seq_001186.jpg,80,22,SAFE,YOLO [Auto],moderate_outdoor,1.188,0.8
seq_001201.jpg,81,25,SAFE,Blend [Auto],moderate_outdoor,1.005,1.0
seq_001216.jpg,82,20,SAFE,YOLO [Auto],sparse_outdoor,0.892,1.1
seq_001231.jpg,83,15,SAFE,YOLO [Auto],moderate_outdoor,0.98,1.0
seq_001246.jpg,84,10,SAFE,YOLO [Auto],moderate_indoor,1.224,0.8
seq_001261.jpg,85,16,SAFE,Blend [Auto],moderate_outdoor,1.049,1.0
seq_001276.jpg,86,21,SAFE,Blend [Auto],moderate_outdoor,0.881,1.1
seq_001291.jpg,87,27,SAFE,Blend [Auto],moderate_outdoor,1.024,1.0
seq_001306.jpg,88,24,SAFE,YOLO [Auto],moderate_outdoor,1.13,0.9
seq_001321.jpg,89,28,SAFE,Blend [Auto],moderate_outdoor,1.058,0.9
seq_001336.jpg,90,21,SAFE,YOLO [Auto],sparse_outdoor,0.913,1.1
seq_001351.jpg,91,17,SAFE,YOLO [Auto],moderate_outdoor,0.986,1.0
seq_001366.jpg,92,13,SAFE,YOLO [Auto],moderate_outdoor,1.026,1.0
seq_001381.jpg,93,11,SAFE,YOLO [Auto],moderate_indoor,1.101,0.9
seq_001396.jpg,94,7,SAFE,YOLO [Auto],moderate_indoor,0.862,1.2
seq_001411.jpg,95,7,SAFE,YOLO [Auto],sparse_outdoor,0.993,1.0
seq_001426.jpg,96,8,SAFE,YOLO [Auto],moderate_outdoor,1.076,0.9
seq_001441.jpg,97,9,SAFE,YOLO [Auto],moderate_indoor,1.151,0.9
seq_001456.jpg,98,18,SAFE,Blend [Auto],moderate_outdoor,0.945,1.1
seq_001471.jpg,99,17,SAFE,YOLO [Auto],moderate_outdoor,1.019,1.0
seq_001486.jpg,100,16,SAFE,YOLO [Auto],moderate_outdoor,1.022,1.0
