Image,Ground_Truth,Predicted,Absolute_Error,Relative_Error_%,Risk_Level,Detection_Method,Scene_Type,Processing_Time_s
IMG_133.jpg,137,118,19,13.9,OVERCROWDED,Blend [Auto],moderate_outdoor,1.168
IMG_134.jpg,120,108,12,10.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.291
IMG_135.jpg,72,81,9,12.5,WARNING,YOLO [Auto],moderate_outdoor,1.235
IMG_136.jpg,122,106,16,13.1,OVERCROWDED,Blend [Auto],dense_outdoor,1.286
IMG_137.jpg,198,140,58,29.3,OVERCROWDED,Blend [Auto],dense_outdoor,1.301
IMG_138.jpg,133,149,16,12.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.303
IMG_139.jpg,147,141,6,4.1,OVERCROWDED,Blend [Auto],moderate_outdoor,1.331
IMG_14.jpg,29,122,93,320.7,OVERCROWDED,Blend [Auto],moderate_indoor,1.421
IMG_140.jpg,70,111,41,58.6,OVERCROWDED,Blend [Auto],moderate_outdoor,1.563
IMG_141.jpg,35,90,55,157.1,WARNING,Blend [Auto],moderate_outdoor,1.337
IMG_142.jpg,24,72,48,200.0,WARNING,Blend [Auto],moderate_outdoor,1.301
IMG_143.jpg,251,143,108,43.0,OVERCROWDED,Blend [Auto],dense_outdoor,1.216
IMG_144.jpg,59,133,74,125.4,OVERCROWDED,Blend [Auto],moderate_outdoor,1.369
IMG_145.jpg,67,138,71,106.0,OVERCROWDED,Blend [Auto],dense_outdoor,1.238
IMG_146.jpg,61,136,75,123.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.223
IMG_147.jpg,248,176,72,29.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.238
IMG_148.jpg,252,119,133,52.8,OVERCROWDED,YOLO [Auto],dense_outdoor,1.343
IMG_149.jpg,147,89,58,39.5,WARNING,YOLO [Auto],dense_outdoor,1.274
IMG_15.jpg,57,86,29,50.9,WARNING,Blend [Auto],moderate_outdoor,1.244
IMG_150.jpg,121,102,19,15.7,OVERCROWDED,Blend [Auto],moderate_outdoor,1.436
IMG_151.jpg,47,89,42,89.4,WARNING,Blend [Auto],moderate_outdoor,1.301
IMG_152.jpg,505,193,312,61.8,OVERCROWDED,Blend [Auto],moderate_outdoor,1.316
IMG_153.jpg,297,242,55,18.5,OVERCROWDED,Blend [Auto],dense_outdoor,1.36
IMG_154.jpg,465,302,163,35.1,OVERCROWDED,Blend [Auto],dense_outdoor,1.207
IMG_155.jpg,167,229,62,37.1,OVERCROWDED,YOLO [Auto],dense_outdoor,1.263
IMG_156.jpg,43,188,145,337.2,OVERCROWDED,Blend [Auto],moderate_outdoor,1.218
IMG_157.jpg,46,137,91,197.8,OVERCROWDED,Blend [Auto],moderate_outdoor,1.347
IMG_158.jpg,91,100,9,9.9,OVERCROWDED,Blend [Auto],moderate_outdoor,1.235
IMG_159.jpg,263,125,138,52.5,OVERCROWDED,Blend [Auto],moderate_outdoor,1.353
IMG_16.jpg,92,141,49,53.3,OVERCROWDED,Blend [Auto],moderate_outdoor,1.388
IMG_160.jpg,117,152,35,29.9,OVERCROWDED,Blend [Auto],moderate_outdoor,1.222
IMG_161.jpg,48,126,78,162.5,OVERCROWDED,Blend [Auto],moderate_outdoor,1.284
IMG_162.jpg,54,108,54,100.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.455
IMG_163.jpg,73,96,23,31.5,WARNING,Blend [Auto],dense_outdoor,1.23
IMG_164.jpg,122,68,54,44.3,WARNING,YOLO [Auto],moderate_outdoor,1.267
IMG_165.jpg,60,73,13,21.7,WARNING,Blend [Auto],moderate_outdoor,1.258
IMG_166.jpg,170,123,47,27.6,OVERCROWDED,Blend [Auto],dense_outdoor,1.393
IMG_167.jpg,167,121,46,27.5,OVERCROWDED,Blend [Auto],moderate_outdoor,1.305
IMG_168.jpg,57,111,54,94.7,OVERCROWDED,Blend [Auto],moderate_outdoor,1.312
IMG_169.jpg,127,141,14,11.0,OVERCROWDED,Blend [Auto],dense_outdoor,1.339
IMG_17.jpg,71,105,34,47.9,OVERCROWDED,YOLO [Auto],dense_outdoor,1.276
IMG_170.jpg,298,66,232,77.9,WARNING,YOLO [Auto],moderate_outdoor,1.248
IMG_171.jpg,14,60,46,328.6,WARNING,Blend [Auto],dense_outdoor,0.902
IMG_172.jpg,11,43,32,290.9,SAFE,YOLO [Auto],moderate_outdoor,0.804
IMG_173.jpg,104,60,44,42.3,WARNING,Blend [Auto],dense_indoor,0.77
IMG_174.jpg,143,52,91,63.6,WARNING,YOLO [Auto],dense_outdoor,0.771
IMG_175.jpg,45,60,15,33.3,WARNING,Blend [Auto],moderate_outdoor,0.819
IMG_176.jpg,229,46,183,79.9,SAFE,YOLO [Auto],moderate_outdoor,0.725
IMG_177.jpg,20,45,25,125.0,SAFE,Blend [Auto],moderate_outdoor,0.76
IMG_178.jpg,41,49,8,19.5,SAFE,Blend [Auto],moderate_outdoor,0.737
IMG_179.jpg,79,73,6,7.6,WARNING,Blend [Auto],dense_outdoor,0.75
IMG_18.jpg,235,131,104,44.3,OVERCROWDED,Blend [Auto],dense_outdoor,0.729
IMG_180.jpg,101,141,40,39.6,OVERCROWDED,Blend [Auto],dense_outdoor,0.723
IMG_181.jpg,60,125,65,108.3,OVERCROWDED,Blend [Auto],moderate_indoor,0.737
IMG_182.jpg,253,173,80,31.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.732
IMG_183.jpg,187,187,0,0.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.756
IMG_184.jpg,184,131,53,28.8,OVERCROWDED,YOLO [Auto],moderate_outdoor,0.71
IMG_185.jpg,106,136,30,28.3,OVERCROWDED,Blend [Auto],moderate_outdoor,0.712
IMG_186.jpg,104,149,45,43.3,OVERCROWDED,Blend [Auto],moderate_outdoor,0.769
IMG_187.jpg,159,156,3,1.9,OVERCROWDED,Blend [Auto],dense_outdoor,0.734
IMG_188.jpg,56,139,83,148.2,OVERCROWDED,Blend [Auto],moderate_outdoor,0.781
IMG_189.jpg,40,122,82,205.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.754
IMG_19.jpg,277,171,106,38.3,OVERCROWDED,Blend [Auto],dense_outdoor,0.724
IMG_190.jpg,90,150,60,66.7,OVERCROWDED,Blend [Auto],moderate_outdoor,0.721
IMG_191.jpg,301,181,120,39.9,OVERCROWDED,Blend [Auto],dense_outdoor,0.718
IMG_192.jpg,58,165,107,184.5,OVERCROWDED,Blend [Auto],dense_outdoor,0.752
IMG_193.jpg,172,191,19,11.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.715
IMG_194.jpg,213,195,18,8.5,OVERCROWDED,Blend [Auto],dense_outdoor,0.716
IMG_195.jpg,61,175,114,186.9,OVERCROWDED,Blend [Auto],dense_outdoor,0.742
IMG_196.jpg,107,163,56,52.3,OVERCROWDED,Blend [Auto],moderate_outdoor,0.77
IMG_197.jpg,93,160,67,72.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.737
IMG_198.jpg,9,112,103,1144.4,OVERCROWDED,Blend [Auto],sparse_indoor,0.688
IMG_199.jpg,88,92,4,4.5,WARNING,Blend [Auto],moderate_outdoor,0.701
IMG_2.jpg,52,93,41,78.8,WARNING,Blend [Auto],dense_outdoor,0.753
IMG_20.jpg,15,79,64,426.7,WARNING,Blend [Auto],moderate_outdoor,0.731
IMG_200.jpg,48,79,31,64.6,WARNING,Blend [Auto],moderate_outdoor,0.747
IMG_201.jpg,131,96,35,26.7,WARNING,Blend [Auto],moderate_outdoor,0.713
IMG_202.jpg,180,133,47,26.1,OVERCROWDED,Blend [Auto],dense_outdoor,0.728
IMG_203.jpg,187,147,40,21.4,OVERCROWDED,Blend [Auto],dense_outdoor,0.74
IMG_204.jpg,148,168,20,13.5,OVERCROWDED,Blend [Auto],moderate_outdoor,0.72
IMG_205.jpg,57,140,83,145.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.742
IMG_206.jpg,86,120,34,39.5,OVERCROWDED,Blend [Auto],moderate_outdoor,0.715
IMG_207.jpg,106,115,9,8.5,OVERCROWDED,Blend [Auto],moderate_outdoor,0.768
IMG_208.jpg,72,109,37,51.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.754
IMG_209.jpg,149,76,73,49.0,WARNING,YOLO [Auto],moderate_outdoor,0.712
IMG_21.jpg,89,82,7,7.9,WARNING,Blend [Auto],dense_outdoor,0.751
IMG_210.jpg,33,60,27,81.8,WARNING,YOLO [Auto],moderate_outdoor,0.689
IMG_211.jpg,51,63,12,23.5,WARNING,Blend [Auto],moderate_outdoor,0.724
IMG_212.jpg,139,94,45,32.4,WARNING,Blend [Auto],dense_outdoor,0.742
IMG_213.jpg,284,156,128,45.1,OVERCROWDED,Blend [Auto],dense_outdoor,0.737
IMG_214.jpg,138,174,36,26.1,OVERCROWDED,Blend [Auto],moderate_outdoor,0.717
IMG_215.jpg,52,165,113,217.3,OVERCROWDED,Blend [Auto],moderate_outdoor,0.829
IMG_216.jpg,161,161,0,0.0,OVERCROWDED,Blend [Auto],moderate_indoor,0.844
IMG_217.jpg,109,153,44,40.4,OVERCROWDED,Blend [Auto],dense_outdoor,0.814
IMG_218.jpg,73,119,46,63.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.778
IMG_219.jpg,450,175,275,61.1,OVERCROWDED,Blend [Auto],moderate_outdoor,0.826
IMG_22.jpg,300,136,164,54.7,OVERCROWDED,YOLO [Auto],dense_outdoor,0.757
IMG_220.jpg,70,124,54,77.1,OVERCROWDED,Blend [Auto],moderate_outdoor,0.787
IMG_221.jpg,74,120,46,62.2,OVERCROWDED,Blend [Auto],moderate_outdoor,0.756
IMG_222.jpg,154,124,30,19.5,OVERCROWDED,Blend [Auto],dense_outdoor,0.745
IMG_223.jpg,144,141,3,2.1,OVERCROWDED,Blend [Auto],dense_outdoor,0.747
IMG_224.jpg,142,149,7,4.9,OVERCROWDED,Blend [Auto],dense_outdoor,0.734
IMG_225.jpg,265,178,87,32.8,OVERCROWDED,Blend [Auto],dense_outdoor,0.737
IMG_226.jpg,94,154,60,63.8,OVERCROWDED,Blend [Auto],moderate_outdoor,0.714
IMG_227.jpg,96,135,39,40.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.719
IMG_228.jpg,159,119,40,25.2,OVERCROWDED,Blend [Auto],moderate_outdoor,0.72
IMG_229.jpg,64,106,42,65.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.721
IMG_23.jpg,240,115,125,52.1,OVERCROWDED,Blend [Auto],dense_outdoor,0.721
IMG_230.jpg,93,110,17,18.3,OVERCROWDED,Blend [Auto],sparse_outdoor,0.714
IMG_231.jpg,79,111,32,40.5,OVERCROWDED,Blend [Auto],moderate_outdoor,0.726
IMG_232.jpg,133,117,16,12.0,OVERCROWDED,Blend [Auto],dense_outdoor,0.726
IMG_233.jpg,29,118,89,306.9,OVERCROWDED,Blend [Auto],moderate_outdoor,0.714
IMG_234.jpg,212,158,54,25.5,OVERCROWDED,Blend [Auto],moderate_outdoor,0.711
IMG_235.jpg,180,123,57,31.7,OVERCROWDED,YOLO [Auto],dense_outdoor,0.709
IMG_236.jpg,196,90,106,54.1,WARNING,YOLO [Auto],moderate_outdoor,0.724
IMG_237.jpg,323,155,168,52.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.735
IMG_238.jpg,51,129,78,152.9,OVERCROWDED,Blend [Auto],moderate_outdoor,0.723
IMG_239.jpg,166,86,80,48.2,WARNING,YOLO [Auto],moderate_outdoor,0.701
IMG_24.jpg,79,102,23,29.1,OVERCROWDED,Blend [Auto],moderate_outdoor,0.731
IMG_240.jpg,94,108,14,14.9,OVERCROWDED,Blend [Auto],moderate_outdoor,0.741
IMG_241.jpg,89,84,5,5.6,WARNING,Blend [Auto],moderate_outdoor,0.734
IMG_242.jpg,177,135,42,23.7,OVERCROWDED,Blend [Auto],dense_outdoor,0.711
IMG_243.jpg,143,163,20,14.0,OVERCROWDED,Blend [Auto],dense_outdoor,0.741
IMG_244.jpg,105,154,49,46.7,OVERCROWDED,Blend [Auto],moderate_outdoor,0.729
IMG_245.jpg,85,124,39,45.9,OVERCROWDED,Blend [Auto],moderate_indoor,0.816
IMG_246.jpg,376,91,285,75.8,WARNING,YOLO [Auto],dense_outdoor,0.714
IMG_247.jpg,104,118,14,13.5,OVERCROWDED,Blend [Auto],dense_outdoor,0.758
IMG_248.jpg,62,113,51,82.3,OVERCROWDED,Blend [Auto],moderate_outdoor,0.758
IMG_249.jpg,107,86,21,19.6,WARNING,YOLO [Auto],moderate_outdoor,0.726
IMG_25.jpg,216,128,88,40.7,OVERCROWDED,Blend [Auto],moderate_outdoor,0.711
IMG_250.jpg,24,107,83,345.8,OVERCROWDED,Blend [Auto],sparse_indoor,0.748
IMG_251.jpg,274,145,129,47.1,OVERCROWDED,Blend [Auto],moderate_outdoor,0.776
IMG_252.jpg,31,118,87,280.6,OVERCROWDED,Blend [Auto],moderate_indoor,0.735
IMG_253.jpg,132,148,16,12.1,OVERCROWDED,Blend [Auto],dense_outdoor,0.759
IMG_254.jpg,91,142,51,56.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.804
IMG_255.jpg,49,137,88,179.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.743
IMG_256.jpg,194,142,52,26.8,OVERCROWDED,Blend [Auto],dense_outdoor,0.715
IMG_257.jpg,131,163,32,24.4,OVERCROWDED,Blend [Auto],dense_outdoor,0.752
IMG_258.jpg,55,141,86,156.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.727
IMG_259.jpg,87,143,56,64.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.757
IMG_26.jpg,38,126,88,231.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.741
IMG_260.jpg,53,98,45,84.9,WARNING,Blend [Auto],moderate_outdoor,0.773
IMG_261.jpg,184,113,71,38.6,OVERCROWDED,Blend [Auto],dense_outdoor,0.843
IMG_262.jpg,137,84,53,38.7,WARNING,YOLO [Auto],dense_outdoor,0.721
IMG_263.jpg,95,83,12,12.6,WARNING,Blend [Auto],moderate_outdoor,0.73
IMG_264.jpg,36,84,48,133.3,WARNING,Blend [Auto],moderate_outdoor,0.76
IMG_265.jpg,28,77,49,175.0,WARNING,Blend [Auto],moderate_outdoor,0.763
IMG_266.jpg,59,79,20,33.9,WARNING,Blend [Auto],moderate_outdoor,0.759
IMG_267.jpg,62,87,25,40.3,WARNING,Blend [Auto],dense_outdoor,0.744
IMG_268.jpg,79,82,3,3.8,WARNING,Blend [Auto],moderate_outdoor,0.728
IMG_269.jpg,304,138,166,54.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.719
IMG_27.jpg,207,154,53,25.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.732
IMG_270.jpg,142,166,24,16.9,OVERCROWDED,Blend [Auto],moderate_outdoor,0.736
IMG_271.jpg,54,153,99,183.3,OVERCROWDED,Blend [Auto],moderate_outdoor,0.741
IMG_272.jpg,164,147,17,10.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.728
IMG_273.jpg,61,123,62,101.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.774
IMG_274.jpg,200,148,52,26.0,OVERCROWDED,Blend [Auto],dense_outdoor,0.765
IMG_275.jpg,88,141,53,60.2,OVERCROWDED,Blend [Auto],moderate_outdoor,0.761
IMG_276.jpg,38,121,83,218.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.741
IMG_277.jpg,67,112,45,67.2,OVERCROWDED,Blend [Auto],moderate_outdoor,0.801
IMG_278.jpg,57,100,43,75.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.755
IMG_279.jpg,196,102,94,48.0,OVERCROWDED,Blend [Auto],dense_outdoor,0.729
IMG_28.jpg,61,91,30,49.2,WARNING,Blend [Auto],sparse_outdoor,0.743
IMG_280.jpg,87,112,25,28.7,OVERCROWDED,Blend [Auto],dense_outdoor,0.756
IMG_281.jpg,146,117,29,19.9,OVERCROWDED,Blend [Auto],moderate_outdoor,0.75
IMG_282.jpg,24,89,65,270.8,WARNING,YOLO [Auto],dense_outdoor,0.787
IMG_283.jpg,226,117,109,48.2,OVERCROWDED,Blend [Auto],dense_outdoor,0.796
IMG_284.jpg,38,103,65,171.1,OVERCROWDED,Blend [Auto],moderate_indoor,0.854
IMG_285.jpg,54,98,44,81.5,WARNING,Blend [Auto],moderate_outdoor,0.902
IMG_286.jpg,66,79,13,19.7,WARNING,Blend [Auto],moderate_indoor,1.003
IMG_287.jpg,89,90,1,1.1,WARNING,Blend [Auto],moderate_outdoor,1.171
IMG_288.jpg,19,65,46,242.1,WARNING,Blend [Auto],sparse_indoor,1.356
IMG_289.jpg,45,54,9,20.0,WARNING,Blend [Auto],moderate_indoor,1.369
IMG_29.jpg,92,76,16,17.4,WARNING,Blend [Auto],moderate_outdoor,1.295
IMG_290.jpg,119,89,30,25.2,WARNING,Blend [Auto],moderate_outdoor,1.245
IMG_291.jpg,177,116,61,34.5,OVERCROWDED,Blend [Auto],dense_outdoor,1.239
IMG_292.jpg,93,127,34,36.6,OVERCROWDED,Blend [Auto],moderate_outdoor,1.241
IMG_293.jpg,327,178,149,45.6,OVERCROWDED,Blend [Auto],moderate_outdoor,1.286
IMG_294.jpg,46,155,109,237.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.326
IMG_295.jpg,153,116,37,24.2,OVERCROWDED,YOLO [Auto],moderate_outdoor,1.304
IMG_296.jpg,28,90,62,221.4,WARNING,Blend [Auto],sparse_outdoor,1.341
IMG_297.jpg,66,72,6,9.1,WARNING,Blend [Auto],moderate_outdoor,1.289
IMG_298.jpg,206,100,106,51.5,OVERCROWDED,Blend [Auto],dense_indoor,1.293
IMG_299.jpg,98,97,1,1.0,WARNING,Blend [Auto],moderate_outdoor,1.281
IMG_3.jpg,61,89,28,45.9,WARNING,Blend [Auto],moderate_indoor,1.284
IMG_30.jpg,51,82,31,60.8,WARNING,Blend [Auto],moderate_indoor,1.44
IMG_300.jpg,196,111,85,43.4,OVERCROWDED,Blend [Auto],moderate_outdoor,1.616
IMG_301.jpg,33,93,60,181.8,WARNING,Blend [Auto],moderate_outdoor,1.538
IMG_302.jpg,79,88,9,11.4,WARNING,Blend [Auto],moderate_indoor,1.304
IMG_303.jpg,68,86,18,26.5,WARNING,Blend [Auto],moderate_outdoor,1.237
IMG_304.jpg,176,127,49,27.8,OVERCROWDED,Blend [Auto],moderate_outdoor,1.149
IMG_305.jpg,110,125,15,13.6,OVERCROWDED,Blend [Auto],dense_outdoor,1.144
IMG_306.jpg,230,136,94,40.9,OVERCROWDED,Blend [Auto],moderate_outdoor,1.115
IMG_307.jpg,200,142,58,29.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.048
IMG_308.jpg,47,133,86,183.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.07
IMG_309.jpg,63,121,58,92.1,OVERCROWDED,Blend [Auto],dense_outdoor,1.035
IMG_31.jpg,176,160,16,9.1,OVERCROWDED,Blend [Auto],dense_outdoor,1.03
IMG_310.jpg,93,154,61,65.6,OVERCROWDED,Blend [Auto],moderate_outdoor,1.024
IMG_311.jpg,60,132,72,120.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.973
IMG_312.jpg,51,120,69,135.3,OVERCROWDED,Blend [Auto],moderate_outdoor,1.009
IMG_313.jpg,29,95,66,227.6,WARNING,Blend [Auto],moderate_outdoor,0.975
IMG_314.jpg,51,72,21,41.2,WARNING,Blend [Auto],moderate_outdoor,0.977
IMG_315.jpg,54,73,19,35.2,WARNING,Blend [Auto],moderate_outdoor,0.952
IMG_316.jpg,429,173,256,59.7,OVERCROWDED,Blend [Auto],dense_outdoor,0.948
IMG_32.jpg,44,150,106,240.9,OVERCROWDED,Blend [Auto],moderate_outdoor,0.956
IMG_33.jpg,198,184,14,7.1,OVERCROWDED,Blend [Auto],dense_outdoor,0.943
IMG_34.jpg,41,165,124,302.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.938
IMG_35.jpg,166,180,14,8.4,OVERCROWDED,Blend [Auto],moderate_outdoor,0.925
IMG_36.jpg,156,179,23,14.7,OVERCROWDED,Blend [Auto],dense_outdoor,0.916
IMG_37.jpg,42,146,104,247.6,OVERCROWDED,Blend [Auto],moderate_indoor,0.871
IMG_38.jpg,89,116,27,30.3,OVERCROWDED,Blend [Auto],moderate_outdoor,0.912
IMG_39.jpg,48,97,49,102.1,WARNING,Blend [Auto],moderate_outdoor,0.938
IMG_4.jpg,95,82,13,13.7,WARNING,Blend [Auto],moderate_outdoor,0.902
IMG_40.jpg,331,125,206,62.2,OVERCROWDED,Blend [Auto],dense_outdoor,0.914
IMG_41.jpg,31,113,82,264.5,OVERCROWDED,Blend [Auto],moderate_indoor,0.927
IMG_42.jpg,41,108,67,163.4,OVERCROWDED,Blend [Auto],dense_outdoor,0.892
IMG_43.jpg,106,121,15,14.2,OVERCROWDED,Blend [Auto],dense_outdoor,0.935
IMG_44.jpg,28,95,67,239.3,WARNING,Blend [Auto],moderate_indoor,0.879
IMG_45.jpg,158,89,69,43.7,WARNING,Blend [Auto],moderate_outdoor,0.863
IMG_46.jpg,90,88,2,2.2,WARNING,Blend [Auto],moderate_outdoor,0.873
IMG_47.jpg,72,96,24,33.3,WARNING,Blend [Auto],moderate_outdoor,0.85
IMG_48.jpg,84,92,8,9.5,WARNING,Blend [Auto],moderate_outdoor,0.87
IMG_49.jpg,35,87,52,148.6,WARNING,Blend [Auto],moderate_outdoor,0.861
IMG_5.jpg,82,80,2,2.4,WARNING,Blend [Auto],moderate_indoor,0.809
IMG_50.jpg,265,60,205,77.4,WARNING,YOLO [Auto],dense_outdoor,0.825
IMG_51.jpg,190,103,87,45.8,OVERCROWDED,Blend [Auto],dense_outdoor,0.844
IMG_52.jpg,26,98,72,276.9,WARNING,Blend [Auto],moderate_outdoor,0.835
IMG_53.jpg,48,88,40,83.3,WARNING,Blend [Auto],moderate_outdoor,0.825
IMG_54.jpg,60,81,21,35.0,WARNING,Blend [Auto],moderate_outdoor,0.861
IMG_55.jpg,195,132,63,32.3,OVERCROWDED,Blend [Auto],dense_outdoor,0.81
IMG_56.jpg,79,104,25,31.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.827
IMG_57.jpg,79,109,30,38.0,OVERCROWDED,Blend [Auto],moderate_outdoor,0.832
IMG_58.jpg,96,110,14,14.6,OVERCROWDED,Blend [Auto],moderate_outdoor,0.853
IMG_59.jpg,48,95,47,97.9,WARNING,Blend [Auto],moderate_outdoor,0.848
IMG_6.jpg,195,131,64,32.8,OVERCROWDED,Blend [Auto],moderate_outdoor,0.832
IMG_60.jpg,34,118,84,247.1,OVERCROWDED,Blend [Auto],moderate_outdoor,0.844
IMG_61.jpg,412,87,325,78.9,WARNING,YOLO [Auto],moderate_outdoor,0.813
IMG_62.jpg,174,111,63,36.2,OVERCROWDED,Blend [Auto],dense_outdoor,0.834
IMG_63.jpg,60,109,49,81.7,OVERCROWDED,Blend [Auto],moderate_outdoor,0.837
IMG_64.jpg,50,95,45,90.0,WARNING,Blend [Auto],dense_outdoor,0.837
IMG_65.jpg,236,153,83,35.2,OVERCROWDED,Blend [Auto],dense_outdoor,0.853
IMG_66.jpg,176,168,8,4.5,OVERCROWDED,Blend [Auto],dense_outdoor,0.814
IMG_67.jpg,108,163,55,50.9,OVERCROWDED,Blend [Auto],dense_outdoor,0.811
IMG_68.jpg,59,161,102,172.9,OVERCROWDED,Blend [Auto],moderate_outdoor,0.826
IMG_69.jpg,94,144,50,53.2,OVERCROWDED,Blend [Auto],moderate_outdoor,0.796
IMG_7.jpg,47,116,69,146.8,OVERCROWDED,Blend [Auto],dense_outdoor,0.821
IMG_70.jpg,48,96,48,100.0,WARNING,Blend [Auto],moderate_outdoor,0.794
IMG_71.jpg,191,131,60,31.4,OVERCROWDED,Blend [Auto],dense_outdoor,0.81
